Target,Ligand,expddg,mean_plddt,ranking_confidence,ligand_rmsd,kabsch_rmsd,global_rmsd_ca,pocket_rmsd_ca,global_rmsd_aa,pocket_rmsd_aa
BACE,CAT-13a,-8.843,96.85879338798523,0.9942184770107241,1.279028847546897,1.0326635495934695,0.571121096611023,0.1793274283409118,0.8060926795005798,0.8461820483207703
BACE,CAT-13o,-8.543,96.98366300005999,0.9895379465989719,1.1993769523421416,1.031682227811185,0.6351822018623352,0.1538123041391372,0.8367576003074646,0.4266838431358337
BACE,CAT-13c,-9.323,96.81592866168788,0.9931810102403078,1.2325328910901518,1.0334349436889991,0.5744171142578125,0.2173878401517868,0.8232108354568481,0.8996961712837219
BACE,CAT-13n,-8.543,96.95429897938274,0.9879908319104186,1.2824891864391423,1.028901693479373,0.6154234409332275,0.1659504920244217,0.8318408131599426,0.3921900391578674
BACE,CAT-4l,-9.343,96.93670606979457,0.9820559278501994,1.2548982980988652,1.0156125698050005,0.6269817352294922,2.7176737785339355,0.842349648475647,2.494567632675171
BACE,CAT-13i,-9.273,96.78098438482081,0.9922384935677856,1.2640853533192251,1.0309890648400504,0.5215718746185303,0.147701546549797,0.8161407709121704,0.4265491366386413
BACE,CAT-13f,-9.093,96.85443606654191,0.9906192485009118,1.242473268276204,1.0339087442600703,0.6055908799171448,2.7137725353240967,0.8586982488632202,2.475482225418091
BACE,CAT-17i,-9.473,96.46397130555633,0.9871447589775981,1.2418189767242167,1.021994894699079,0.4986775815486908,0.2298279106616974,0.8053645491600037,0.892508864402771
BACE,CAT-13b,-9.123,96.80649084788921,0.9941849455819186,1.2816704938329138,1.0300489792361878,0.6377472281455994,0.1917343139648437,0.8546679615974426,0.8353561162948608
BACE,CAT-4o,-9.383,96.92621558034017,0.9876482973228342,1.2234289036887074,1.0174345346141946,0.6381227374076843,0.1707154363393783,0.8517792224884033,0.4266558587551117
BACE,CAT-4c,-7.853,96.06849275875236,0.9776206360615579,0.4829943482859716,0.2210389280429566,0.622856080532074,0.2563089430332184,0.8320015072822571,0.4262817502021789
BACE,CAT-4n,-9.093,96.81374657090012,0.9872186566566563,1.2089379045852011,1.0234933430381208,0.6262149810791016,2.704580783843994,0.8706661462783813,2.478756189346313
BACE,CAT-13j,-8.733,97.0135901440655,0.9887061102505424,1.1774720297961991,1.0331430433378737,0.790377140045166,2.712306499481201,1.026821255683899,2.4937167167663574
BACE,CAT-4b,-9.633,96.76755750979926,0.9882585532702339,1.204958573482725,1.0261910791061917,0.7575135827064514,2.7191386222839355,1.1132028102874756,2.489652633666992
BACE,CAT-4i,-8.263,96.89032216693099,0.9833410158833369,1.177713082125491,1.020587135650023,0.6508429646492004,0.1393776386976242,0.8508325815200806,0.4226166009902954
BACE,CAT-17f,-9.423,96.76903922670114,0.9913513113144578,1.2507825710330314,1.020838465246516,0.6446888446807861,0.1949484944343567,0.8901087045669556,0.873640775680542
BACE,CAT-17h,-10.333,96.91931940529773,0.9929974799086221,1.260709740771519,1.0191618922923762,0.6407748460769653,0.2206670343875885,0.8370938301086426,0.8624014854431152
BACE,CAT-17c,-9.863,96.87669831062402,0.9920440723449387,1.256585423734836,1.0286598611762985,0.6334944367408752,0.2189802378416061,0.8380737900733948,0.8718040585517883
BACE,CAT-17d,-9.423,96.87392488968625,0.9904855905316732,1.2946215872932578,0.9852815129818558,0.8140403628349304,0.1963922530412674,1.110561728477478,0.854472815990448
BACE,CAT-4k,-7.853,96.72534380628268,0.9809740284116425,0.5219700684722759,0.2363355623257269,0.8100517988204956,0.178981676697731,1.0996918678283691,0.4292423725128174
CDK2,31,-9.539,92.65469410660081,0.955234429466959,1.1149186892998075,1.0534081960091384,0.4488474726676941,0.217740923166275,0.9252945780754088,0.6825343370437622
